14-Digit PIN #,Street Number,Dir.,Street Name,Type,Sq. Ft.,Ward,Community Area,Zoning Classification,TIF District,Location
20-02-113-024-0000,4137,S,DREXEL,AVE,1035,4,OAKLAND,RM-5,NOT IN TIF,"4137 S DREXEL AVE
CHICAGO, IL
(41.818631, -87.604261)"
20-02-113-025-0000,4141,S,DREXEL,AVE,1075,4,OAKLAND,RM-5,NOT IN TIF,"4141 S DREXEL AVE
CHICAGO, IL
(41.818778, -87.604278)"
20-02-113-027-0000,4147,S,DREXEL,AVE,7567,4,OAKLAND,RM-5,NOT IN TIF,"4147 S DREXEL AVE
CHICAGO, IL
(41.818409, -87.60423)"
20-02-113-054-0000,4146,S,ELLIS,AVE,3011,4,OAKLAND,RM-5,NOT IN TIF,"4146 S ELLIS AVE
CHICAGO, IL
(41.818638, -87.602073)"
20-02-114-016-0000,1030,E,41ST,PL,1059,4,OAKLAND,RM-5,NOT IN TIF,"1030 E 41ST PL
CHICAGO, IL
(41.819619, -87.601366)"
20-02-114-017-0000,1032,E,41ST,PL,1059,4,OAKLAND,RM-5,NOT IN TIF,"1032 E 41ST PL
CHICAGO, IL
(41.819616, -87.601474)"
20-02-116-009-0000,1008,E,42ND,PL,1120,4,OAKLAND,RM-5,NOT IN TIF,"1008 E 42ND PL
CHICAGO, IL
(41.818033, -87.601397)"
20-02-116-010-0000,1010,E,42ND,PL,1051,4,OAKLAND,RM-5,NOT IN TIF,"1010 E 42ND PL
CHICAGO, IL
(41.818033, -87.601346)"
20-02-116-026-0000,4146,S,BERKELEY,AVE,2081,4,OAKLAND,RM-5,NOT IN TIF,"4146 S BERKELEY AVE
CHICAGO, IL
(41.818778, -87.601078)"
20-02-117-017-0000,4157,S,BERKELEY,AVE,1307,4,OAKLAND,RM-5,NOT IN TIF,"4157 S BERKELEY AVE
CHICAGO, IL
(41.81872, -87.601044)"
20-02-117-024-0000,4116,S,LAKE PARK,AVE,4518,4,OAKLAND,RM-5,NOT IN TIF,"4116 S LAKE PARK AVE
CHICAGO, IL
(41.819669, -87.600601)"
20-02-117-039-0000,4156,S,LAKE PARK,AVE,2620,4,OAKLAND,RM-5,NOT IN TIF,"4156 S LAKE PARK AVE
CHICAGO, IL
(41.818582, -87.599965)"
20-02-117-040-0000,4158,S,LAKE PARK,AVE,2624,4,OAKLAND,RM-5,NOT IN TIF,"4158 S LAKE PARK AVE
CHICAGO, IL
(41.8185, -87.599917)"
20-02-117-043-0000,4164,S,LAKE PARK,AVE,3901,4,OAKLAND,RM-5,NOT IN TIF,"4164 S LAKE PARK AVE
CHICAGO, IL
(41.818706, -87.600037)"
20-02-119-009-0000,817,E,42ND,PL,4103,4,OAKLAND,RM-5,Drexel Boulevard,"817 E 42ND PL
CHICAGO, IL
(41.817991, -87.605838)"
20-02-119-012-0000,825,E,42ND,PL,3027,4,OAKLAND,RM-5,Drexel Boulevard,"825 E 42ND PL
CHICAGO, IL
(41.817994, -87.605556)"
20-02-119-013-0000,827,E,42ND,PL,3024,4,OAKLAND,RM-5,Drexel Boulevard,"827 E 42ND PL
CHICAGO, IL
(41.817994, -87.605535)"
20-02-119-014-0000,829,E,42ND,PL,5212,4,OAKLAND,RM-5,Drexel Boulevard,"829 E 42ND PL
CHICAGO, IL
(41.817995, -87.605447)"
20-02-119-029-0000,4254,S,DREXEL,AVE,17716,4,OAKLAND,B3-3,NOT IN TIF,"4254 S DREXEL AVE
CHICAGO, IL
(41.817104, -87.604544)"
20-02-120-006-0000,4245,S,DREXEL,AVE,3411,4,OAKLAND,RM-5,NOT IN TIF,"4245 S DREXEL AVE
CHICAGO, IL
(41.817431, -87.60411)"
20-02-120-008-0000,4249,S,DREXEL,AVE,3811,4,OAKLAND,B3-3,NOT IN TIF,"4249 S DREXEL AVE
CHICAGO, IL
(41.817331, -87.604099)"
20-02-120-012-0000,927,E,42ND,PL,3963,4,OAKLAND,RM-5,NOT IN TIF,"927 E 42ND PL
CHICAGO, IL
(41.818016, -87.603062)"
20-02-120-013-0000,929,E,42ND,PL,3968,4,OAKLAND,RM-5,NOT IN TIF,"929 E 42ND PL
CHICAGO, IL
(41.818017, -87.602969)"
20-02-121-012-0000,1000,E,43RD,ST,13003,4,OAKLAND,B3-3,NOT IN TIF,"1000 E 43RD ST
CHICAGO, IL
(41.816904, -87.601356)"
20-02-300-008-0000,4323,S,COTTAGE GROVE,AVE,4024,4,KENWOOD,B1-1,43rd/Cottage Grove,"4323 S COTTAGE GROVE AVE
CHICAGO, IL
(41.816103, -87.606685)"
20-02-300-009-0000,4325,S,COTTAGE GROVE,AVE,7211,4,KENWOOD,B1-1,43rd/Cottage Grove,"4325 S COTTAGE GROVE AVE
CHICAGO, IL
(41.815984, -87.606683)"
20-02-300-010-0000,4331,S,COTTAGE GROVE,AVE,3751,4,KENWOOD,B1-1,43rd/Cottage Grove,"4331 S COTTAGE GROVE AVE
CHICAGO, IL
(41.81591, -87.606682)"
20-02-300-017-0000,817,E,43RD,ST,6472,4,KENWOOD,B1-1,NOT IN TIF,"817 E 43RD ST
CHICAGO, IL
(41.816858, -87.605839)"
20-02-300-018-0000,821,E,43RD,ST,6466,4,KENWOOD,B1-1,NOT IN TIF,"821 E 43RD ST
CHICAGO, IL
(41.816854, -87.606244)"
20-02-300-021-0000,827,E,43RD,ST,4129,4,KENWOOD,B3-3,NOT IN TIF,"827 E 43RD ST
CHICAGO, IL
(41.816861, -87.605495)"
20-02-300-025-0000,839,E,43RD,ST,17135,4,KENWOOD,B3-3,NOT IN TIF,"839 E 43RD ST
CHICAGO, IL
(41.816865, -87.605129)"
20-02-300-030-0000,4332,S,DREXEL,AVE,12778,4,KENWOOD,RM-5,NOT IN TIF,"4332 S DREXEL AVE
CHICAGO, IL
(41.815857, -87.604492)"
20-02-301-032-0000,4332,S,ELLIS,AVE,1619,4,KENWOOD,RT-4,NOT IN TIF,"4332 S ELLIS AVE
CHICAGO, IL
(41.815966, -87.601816)"
20-02-301-054-0000,923,E,43RD,ST,14798,4,KENWOOD,B3-3,NOT IN TIF,"923 E 43RD ST
CHICAGO, IL
(41.816888, -87.602983)"
20-02-302-002-0000,4305,S,ELLIS,AVE,2093,4,KENWOOD,RT-4,NOT IN TIF,"4305 S ELLIS AVE
CHICAGO, IL
(41.816384, -87.601824)"
20-02-303-007-0000,4317,S,BERKELEY,AVE,2122,4,KENWOOD,RT-4,NOT IN TIF,"4317 S BERKELEY AVE
CHICAGO, IL
(41.816272, -87.600612)"
20-02-303-026-0000,1047,E,43RD,ST,5754,4,KENWOOD,B3-3,NOT IN TIF,"1047 E 43RD ST
CHICAGO, IL
(41.816922, -87.599598)"
20-02-303-027-0000,4304,S,GREENWOOD,AVE,3064,4,KENWOOD,B3-3,NOT IN TIF,"4304 S GREENWOOD AVE
CHICAGO, IL
(41.816639, -87.599388)"
20-02-303-028-0000,4308,S,GREENWOOD,AVE,2809,4,KENWOOD,RM-5,NOT IN TIF,"4308 S GREENWOOD AVE
CHICAGO, IL
(41.816601, -87.599387)"
20-02-304-043-0000,1130,E,44,ST,908,4,KENWOOD,RM-5,NOT IN TIF,"1130 E 44 ST
CHICAGO, IL
(41.814657, -87.598146)"
20-02-305-020-0000,820,E,45TH,ST,22495,4,KENWOOD,RM-5,NOT IN TIF,"820 E 45TH ST
CHICAGO, IL
(41.813214, -87.605662)"
20-02-307-018-0000,4435,S,ELLIS,AVE,3026,4,KENWOOD,RT-4,NOT IN TIF,"4435 S ELLIS AVE
CHICAGO, IL
(41.814, -87.60179)"
20-02-307-021-0000,4441,S,ELLIS,AVE,2504,4,KENWOOD,RT-4,NOT IN TIF,"4441 S ELLIS AVE
CHICAGO, IL
(41.813862, -87.601788)"
20-02-307-059-0000,4448,S,BERKELEY,AVE,1978,4,KENWOOD,RT-4,NOT IN TIF,"4448 S BERKELEY AVE
CHICAGO, IL
(41.813879, -87.600578)"
20-02-307-065-0000,4462,S,BERKELEY,AVE,1641,4,KENWOOD,RT-4,NOT IN TIF,"4462 S BERKELEY AVE
CHICAGO, IL
(41.813465, -87.600571)"
20-02-307-067-0000,4466,S,BERKELEY,AVE,1750,4,KENWOOD,RT-4,NOT IN TIF,"4466 S BERKELEY AVE
CHICAGO, IL
(41.813375, -87.60057)"
20-02-308-007-0000,4317,S,BERKELEY,AVE,1681,4,KENWOOD,RT-4,NOT IN TIF,"4317 S BERKELEY AVE
CHICAGO, IL
(41.816272, -87.600612)"
20-02-308-014-0000,4427,S,BERKELEY,AVE,1683,4,KENWOOD,RT-4,NOT IN TIF,"4427 S BERKELEY AVE
CHICAGO, IL
(41.814332, -87.600586)"
20-02-308-031-0000,4400,S,GREENWOOD,AVE,6501,4,KENWOOD,RT-4,NOT IN TIF,"4400 S GREENWOOD AVE
CHICAGO, IL
(41.814788, -87.599358)"
20-02-308-032-0000,4404,S,GREENWOOD,AVE,7795,4,KENWOOD,RT-4,NOT IN TIF,"4404 S GREENWOOD AVE
CHICAGO, IL
(41.815053, -87.599358)"
20-02-308-033-0000,4414,S,GREENWOOD,AVE,7788,4,KENWOOD,RT-4,NOT IN TIF,"4414 S GREENWOOD AVE
CHICAGO, IL
(41.814673, -87.599359)"
20-02-308-039-0000,4444,S,GREENWOOD,AVE,7748,4,KENWOOD,RT-4,NOT IN TIF,"4444 S GREENWOOD AVE
CHICAGO, IL
(41.813772, -87.599353)"
20-02-309-006-0000,4429,S,GREENWOOD,AVE,4520,4,KENWOOD,RT-4,NOT IN TIF,"4429 S GREENWOOD AVE
CHICAGO, IL
(41.814255, -87.599356)"
20-02-309-025-0000,4446,S,UNIVERSITY,AVE,1816,4,KENWOOD,RT-4,NOT IN TIF,"4446 S UNIVERSITY AVE
CHICAGO, IL
(41.813687, -87.598131)"
20-02-310-013-0000,4449,S,UNIVERSITY,AVE,2007,4,KENWOOD,POS-2,NOT IN TIF,"4449 S UNIVERSITY AVE
CHICAGO, IL
(41.813599, -87.598129)"
20-02-310-015-0000,1132,E,45TH,ST,6040,4,KENWOOD,POS-2,NOT IN TIF,"1132 E 45TH ST
CHICAGO, IL
(41.813288, -87.597832)"
20-02-311-002-0000,4519,S,COTTAGE GROVE,AVE,4646,4,KENWOOD,B1-5,43rd/Cottage Grove,"4519 S COTTAGE GROVE AVE
CHICAGO, IL
(41.812622, -87.606627)"
20-02-311-003-0000,4521,S,COTTAGE GROVE,AVE,15019,4,KENWOOD,B1-5,43rd/Cottage Grove,"4521 S COTTAGE GROVE AVE
CHICAGO, IL
(41.812833, -87.606631)"
20-02-311-006-0000,4543,S,COTTAGE GROVE,AVE,3750,4,KENWOOD,B1-1,43rd/Cottage Grove,"4543 S COTTAGE GROVE AVE
CHICAGO, IL
(41.81188, -87.606615)"
20-02-311-014-0000,4516,S,DREXEL,AVE,7126,4,KENWOOD,RM-5,NOT IN TIF,"4516 S DREXEL AVE
CHICAGO, IL
(41.812708, -87.604411)"
20-02-312-017-0000,4508,S,ELLIS,AVE,3147,4,KENWOOD,RT-4,NOT IN TIF,"4508 S ELLIS AVE
CHICAGO, IL
(41.812879, -87.601776)"
20-02-312-042-0000,4552,S,ELLIS,AVE,2522,4,KENWOOD,RT-4,NOT IN TIF,"4552 S ELLIS AVE
CHICAGO, IL
(41.811751, -87.601747)"
20-02-313-001-0000,4501,S,ELLIS,AVE,9897,4,KENWOOD,RT-4,NOT IN TIF,"4501 S ELLIS AVE
CHICAGO, IL
(41.813242, -87.601778)"
20-02-313-062-0000,4515,S,ELLIS,AVE,1146,4,KENWOOD,RT-4,NOT IN TIF,"4515 S ELLIS AVE
CHICAGO, IL
(41.812736, -87.601775)"
20-02-313-063-0000,4515,S,ELLIS,AVE,2142,4,KENWOOD,RT-4,NOT IN TIF,"4515 S ELLIS AVE
CHICAGO, IL
(41.812736, -87.601775)"
20-02-313-064-0000,4515,S,ELLIS,AVE,1898,4,KENWOOD,RT-4,NOT IN TIF,"4515 S ELLIS AVE
CHICAGO, IL
(41.812736, -87.601775)"
20-02-313-065-0000,4515,S,ELLIS,AVE,4838,4,KENWOOD,RT-4,NOT IN TIF,"4515 S ELLIS AVE
CHICAGO, IL
(41.812736, -87.601775)"
20-02-315-011-0000,4616,S,DREXEL,AVE,9999,4,KENWOOD,RM-5,NOT IN TIF,"4616 S DREXEL AVE
CHICAGO, IL
(41.810839, -87.604377)"
20-02-400-011-0000,4337,S,LAKE PARK,AVE,3023,4,KENWOOD,RM-5,NOT IN TIF,"4337 S LAKE PARK AVE
CHICAGO, IL
(41.815864, -87.598092)"
20-02-401-021-0000,4401,S,OAKENWALD,AVE,3634,4,KENWOOD,RM-5,NOT IN TIF,"4401 S OAKENWALD AVE
CHICAGO, IL
(41.815076, -87.596113)"
20-02-401-026-0000,4301,,OAKENWALD,,12313,4,KENWOOD,RM-5/B3-3,NOT IN TIF,"4301 OAKENWALD
CHICAGO, IL
(41.816942, -87.597519)"
20-02-403-037-0000,1328,E,47TH,ST,8125,4,KENWOOD,PD 640,NOT IN TIF,"1328 E 47TH ST
CHICAGO, IL
(41.809709, -87.593848)"
20-02-403-041-0000,4644,S,LAKE PARK,AVE,6636,4,KENWOOD,PD 640,NOT IN TIF,"4644 S LAKE PARK AVE
CHICAGO, IL
(41.810469, -87.593324)"
20-02-404-007-0000,1217,E,44TH,PL,2751,4,KENWOOD,RM-5,NOT IN TIF,"1217 E 44TH PL
CHICAGO, IL
(41.814477, -87.596145)"
20-02-404-022-0000,4517,S,LAKE PARK,AVE,2536,4,KENWOOD,RM-5,NOT IN TIF,"4517 S LAKE PARK AVE
CHICAGO, IL
(41.81288, -87.595878)"
20-02-404-041-0000,4442,S,OAKENWALD,AVE,6780,4,KENWOOD,RM-5,NOT IN TIF,"4442 S OAKENWALD AVE
CHICAGO, IL
(41.814411, -87.595599)"
20-02-404-061-0000,4546,S,OAKENWALD,AVE,2792,4,KENWOOD,RM-5,NOT IN TIF,"4546 S OAKENWALD AVE
CHICAGO, IL
(41.812633, -87.594247)"
20-02-404-072-0000,4557,S,LAKE PARK,AVE,2784,4,KENWOOD,RM-5,NOT IN TIF,"4557 S LAKE PARK AVE
CHICAGO, IL
(41.811828, -87.594962)"
20-02-404-076-0000,4539,S,LAKE PARK,AVE,2498,4,KENWOOD,RM-5,NOT IN TIF,"4539 S LAKE PARK AVE
CHICAGO, IL
(41.812245, -87.595411)"
20-02-404-107-0000,4443,S,LAKE PARK,AVE,2220,4,KENWOOD,RM-5,NOT IN TIF,"4443 S LAKE PARK AVE
CHICAGO, IL
(41.81418, -87.596851)"
20-02-405-044-0000,4599,S,OAKENWALD,AVE,2111,4,KENWOOD,RM-5,NOT IN TIF,"4599 S OAKENWALD AVE
CHICAGO, IL
(41.81155, -87.593746)"
20-03-101-005-0000,3952,S,MICHIGAN,AVE,14596,3,GRAND BOULEVARD,M1-3,Bronzeville,"3952 S MICHIGAN AVE
CHICAGO, IL
(41.822838, -87.623162)"
20-03-102-015-0000,3926,S,INDIANA,AVE,2994,3,GRAND BOULEVARD,RM-5,Bronzeville,"3926 S INDIANA AVE
CHICAGO, IL
(41.822862, -87.621568)"
20-03-102-016-0000,3928,S,INDIANA,AVE,2995,3,GRAND BOULEVARD,RM-5,Bronzeville,"3928 S INDIANA AVE
CHICAGO, IL
(41.822874, -87.621568)"
20-03-102-019-0000,3938,S,INDIANA,AVE,3995,3,GRAND BOULEVARD,RM-5,Bronzeville,"3938 S INDIANA AVE
CHICAGO, IL
(41.822661, -87.621561)"
20-03-102-020-0000,3940,S,INDIANA,AVE,7987,3,GRAND BOULEVARD,RM-5,Bronzeville,"3940 S INDIANA AVE
CHICAGO, IL
(41.822541, -87.621557)"
20-03-103-038-0000,3929,S,INDIANA,AVE,4370,3,GRAND BOULEVARD,RM-5,47th/King,"3929 S INDIANA AVE
CHICAGO, IL
(41.822717, -87.621563)"
20-03-104-005-0000,305,E,PERSHING,RD,6790,3,GRAND BOULEVARD,B3-3,Bronzeville,"305 E PERSHING RD
CHICAGO, IL
(41.823815, -87.619008)"
20-03-104-006-0000,309,E,PERSHING,RD,2882,3,GRAND BOULEVARD,B3-3,Bronzeville,"309 E PERSHING RD
CHICAGO, IL
(41.823816, -87.618889)"
20-03-104-026-0000,3910,S,CALUMET,AVE,2204,3,GRAND BOULEVARD,M1-3,47th/King,"3910 S CALUMET AVE
CHICAGO, IL
(41.823493, -87.618522)"
20-03-104-029-0000,3916,S,CALUMET,AVE,2200,3,GRAND BOULEVARD,M1-3,47th/King,"3916 S CALUMET AVE
CHICAGO, IL
(41.823271, -87.618516)"
20-03-104-034-0000,309,E,PERSHING,RD,2881,3,GRAND BOULEVARD,B3-3,Bronzeville,"309 E PERSHING RD
CHICAGO, IL
(41.823816, -87.618889)"
20-03-105-003-0000,3913,S,CALUMET,AVE,6308,3,GRAND BOULEVARD,M1-3,47th/King,"3913 S CALUMET AVE
CHICAGO, IL
(41.823602, -87.618525)"
20-03-106-016-0000,4006,S,WABASH,AVE,3983,3,GRAND BOULEVARD,RM-5,47th/King,"4006 S WABASH AVE
CHICAGO, IL
(41.82231, -87.624788)"
20-03-106-029-0000,4036,S,WABASH,AVE,3986,3,GRAND BOULEVARD,RM-5,47th/King,"4036 S WABASH AVE
CHICAGO, IL
(41.821117, -87.624763)"
20-03-106-031-0000,4030,S,WABASH,AVE,4014,3,GRAND BOULEVARD,RM-5,47th/King,"4030 S WABASH AVE
CHICAGO, IL
(41.821111, -87.624762)"
20-03-106-034-0000,4033,S,STATE,ST,4136,3,GRAND BOULEVARD,M1-2,47th/King,"4033 S STATE ST
CHICAGO, IL
(41.820891, -87.626325)"
20-03-107-016-0000,4030,S,MICHIGAN,AVE,8056,3,GRAND BOULEVARD,B3-2,47th/King,"4030 S MICHIGAN AVE
CHICAGO, IL
(41.821574, -87.623139)"
20-03-107-022-0000,4009,S,WABASH,AVE,3992,3,GRAND BOULEVARD,M1-3,47th/King,"4009 S WABASH AVE
CHICAGO, IL
(41.821503, -87.624772)"
20-03-108-005-0000,4019,S,MICHIGAN,AVE,4021,3,GRAND BOULEVARD,RM-5,47th/King,"4019 S MICHIGAN AVE
CHICAGO, IL
(41.821387, -87.623134)"
20-03-108-012-0000,4049,S,MICHIGAN,AVE,8008,3,GRAND BOULEVARD,RM-5,47th/King,"4049 S MICHIGAN AVE
CHICAGO, IL
(41.82057, -87.623114)"
20-03-108-015-0000,4006,S,INDIANA,AVE,6070,3,GRAND BOULEVARD,RM-5,47th/King,"4006 S INDIANA AVE
CHICAGO, IL
(41.82165, -87.621529)"
20-03-108-030-0000,4007,S,MICHIGAN,AVE,6062,3,GRAND BOULEVARD,RM-5,47th/King,"4007 S MICHIGAN AVE
CHICAGO, IL
(41.821863, -87.623146)"
20-03-109-001-0000,4005,S,INDIANA,,6765,3,GRAND BOULEVARD,RM-5,47th/King,"4005 S INDIANA
CHICAGO, IL
(41.821881, -87.621536)"
20-03-109-003-0000,4015,S,INDIANA,,2801,3,GRAND BOULEVARD,RM-5,47th/King,"4015 S INDIANA
CHICAGO, IL
(41.821701, -87.62153)"
20-03-109-008-0000,4025,S,INDIANA,,2868,3,GRAND BOULEVARD,RM-5,47th/King,"4025 S INDIANA
CHICAGO, IL
(41.821521, -87.621525)"
20-03-109-016-0000,4041,S,INDIANA,AVE,2801,3,GRAND BOULEVARD,RM-5,47th/King,"4041 S INDIANA AVE
CHICAGO, IL
(41.820787, -87.621502)"
20-03-109-017-0000,4043,S,INDIANA,AVE,2801,3,GRAND BOULEVARD,RM-5,47th/King,"4043 S INDIANA AVE
CHICAGO, IL
(41.820732, -87.621501)"
20-03-109-022-0000,4055,S,INDIANA,AVE,4488,3,GRAND BOULEVARD,RM-5,47th/King,"4055 S INDIANA AVE
CHICAGO, IL
(41.820367, -87.62149)"
20-03-109-037-0000,218,E,41ST,ST,4280,3,GRAND BOULEVARD,RM-5,47th/King,"218 E 41ST ST
CHICAGO, IL
(41.820205, -87.62062)"
20-03-109-040-0000,4052,S,PRAIRIE,AVE,2748,3,GRAND BOULEVARD,RM-5,47th/King,"4052 S PRAIRIE AVE
CHICAGO, IL
(41.820425, -87.619887)"
20-03-109-041-0000,4052,S,PRAIRIE,AVE,2755,3,GRAND BOULEVARD,RM-5,47th/King,"4052 S PRAIRIE AVE
CHICAGO, IL
(41.820425, -87.619887)"
20-03-110-012-0000,4047,S,PRAIRIE,AVE,3376,3,GRAND BOULEVARD,RM-5,47th/King,"4047 S PRAIRIE AVE
CHICAGO, IL
(41.820731, -87.619895)"
20-03-110-017-0000,4012,S,CALUMET,AVE,5195,3,GRAND BOULEVARD,RM-5,47th/King,"4012 S CALUMET AVE
CHICAGO, IL
(41.821549, -87.61848)"
20-03-110-025-0000,4048,S,CALUMET,AVE,7136,3,GRAND BOULEVARD,RM-5,47th/King,"4048 S CALUMET AVE
CHICAGO, IL
(41.820528, -87.618445)"
20-03-110-026-0000,4056,S,CALUMET,AVE,3242,3,GRAND BOULEVARD,RM-5,47th/King,"4056 S CALUMET AVE
CHICAGO, IL
(41.820411, -87.618441)"
20-03-110-027-0000,4056,S,CALUMET,AVE,5069,3,GRAND BOULEVARD,RM-5,47th/King,"4056 S CALUMET AVE
CHICAGO, IL
(41.820411, -87.618441)"
20-03-111-010-0000,4045,S,CALUMET,AVE,3152,3,GRAND BOULEVARD,RM-5,47th/King,"4045 S CALUMET AVE
CHICAGO, IL
(41.820698, -87.618451)"
20-03-111-011-0000,4047,S,CALUMET,AVE,3406,3,GRAND BOULEVARD,RM-5,47th/King,"4047 S CALUMET AVE
CHICAGO, IL
(41.820644, -87.618449)"
20-03-111-020-0000,4022,S,DR MARTIN LUTHER KING JR,DR,3751,3,GRAND BOULEVARD,RM-5,47th/King,"4022 S DR MARTIN LUTHER KING JR DR
CHICAGO, IL
"
20-03-113-004-0000,4111,S,WABASH,AVE,3842,3,GRAND BOULEVARD,RM-5,47th/King,"4111 S WABASH AVE
CHICAGO, IL
(41.819652, -87.624712)"
20-03-113-013-0000,4137,S,WABASH,AVE,4043,3,GRAND BOULEVARD,RM-5,47th/King,"4137 S WABASH AVE
CHICAGO, IL
(41.819032, -87.624691)"
20-03-116-011-0000,4100,S,CALUMET,AVE,6491,3,GRAND BOULEVARD,RM-5,47th/King,"4100 S CALUMET AVE
CHICAGO, IL
(41.820056, -87.618431)"
20-03-116-013-0000,4108,S,CALUMET,AVE,3247,3,GRAND BOULEVARD,RM-5,47th/King,"4108 S CALUMET AVE
CHICAGO, IL
(41.819827, -87.618426)"
20-03-116-015-0000,4114,S,CALUMET,AVE,3247,3,GRAND BOULEVARD,RM-5,47th/King,"4114 S CALUMET AVE
CHICAGO, IL
(41.81967, -87.618423)"
20-03-116-016-0000,4114,S,CALUMET,AVE,2595,3,GRAND BOULEVARD,RM-5,47th/King,"4114 S CALUMET AVE
CHICAGO, IL
(41.81967, -87.618423)"
20-03-116-026-0000,4142,S,CALUMET,AVE,4545,3,GRAND BOULEVARD,RM-5,47th/King,"4142 S CALUMET AVE
CHICAGO, IL
(41.818821, -87.618406)"
20-03-116-027-0000,4148,S,CALUMET,AVE,3244,3,GRAND BOULEVARD,RM-5,47th/King,"4148 S CALUMET AVE
CHICAGO, IL
(41.819315, -87.618416)"
20-03-116-028-0000,4148,S,CALUMET,AVE,3246,3,GRAND BOULEVARD,RM-5,47th/King,"4148 S CALUMET AVE
CHICAGO, IL
(41.819315, -87.618416)"
20-03-116-029-0000,4152,S,CALUMET,AVE,3244,3,GRAND BOULEVARD,RM-5,47th/King,"4152 S CALUMET AVE
CHICAGO, IL
(41.819241, -87.618414)"
20-03-116-030-0000,4156,S,CALUMET,AVE,3246,3,GRAND BOULEVARD,RM-5,47th/King,"4156 S CALUMET AVE
CHICAGO, IL
(41.818603, -87.618401)"
20-03-118-004-0000,4215,S,STATE,ST,9649,3,GRAND BOULEVARD,M1-2,47th/King,"4215 S STATE ST
CHICAGO, IL
(41.817672, -87.626232)"
20-03-118-005-0000,4235,S,STATE,ST,15980,3,GRAND BOULEVARD,M1-2,47th/King,"4235 S STATE ST
CHICAGO, IL
(41.817288, -87.626225)"
20-03-118-027-0000,4244,S,WABASH,AVE,4019,3,GRAND BOULEVARD,RM-5,47th/King,"4244 S WABASH AVE
CHICAGO, IL
(41.817011, -87.624655)"
20-03-118-028-0000,4248,S,WABASH,AVE,4023,3,GRAND BOULEVARD,RM-5,47th/King,"4248 S WABASH AVE
CHICAGO, IL
(41.817421, -87.624665)"
20-03-118-034-0000,4250,S,WABASH,AVE,14516,3,GRAND BOULEVARD,B3-2/RM-5,47th/King,"4250 S WABASH AVE
CHICAGO, IL
(41.81681, -87.624649)"
20-03-119-010-0000,4245,S,WABASH,AVE,4044,3,GRAND BOULEVARD,B3-2,47th/King,"4245 S WABASH AVE
CHICAGO, IL
(41.817075, -87.624658)"
20-03-120-014-0000,4200,S,INDIANA,AVE,16114,3,GRAND BOULEVARD,RM-6,47th/King,"4200 S INDIANA AVE
CHICAGO, IL
(41.818128, -87.62142)"
20-03-120-016-0000,4212,S,INDIANA,AVE,4031,3,GRAND BOULEVARD,RM-5,47th/King,"4212 S INDIANA AVE
CHICAGO, IL
(41.817886, -87.621413)"
20-03-120-020-0000,4226,S,INDIANA,AVE,4029,3,GRAND BOULEVARD,RM-5,47th/King,"4226 S INDIANA AVE
CHICAGO, IL
(41.817542, -87.621403)"
20-03-121-024-0000,4216,S,PRAIRIE,AVE,2597,3,GRAND BOULEVARD,RM-5,47th/King,"4216 S PRAIRIE AVE
CHICAGO, IL
(41.817885, -87.619817)"
20-03-121-025-0000,4218,S,PRAIRIE,AVE,2714,3,GRAND BOULEVARD,RM-5,47th/King,"4218 S PRAIRIE AVE
CHICAGO, IL
(41.817855, -87.619816)"
20-03-121-035-0000,4248,S,PRAIRIE,AVE,4013,3,GRAND BOULEVARD,RM-5,47th/King,"4248 S PRAIRIE AVE
CHICAGO, IL
(41.81717, -87.6198)"
20-03-121-038-0000,218,E,43RD,ST,7194,3,GRAND BOULEVARD,B3-3,47th/King,"218 E 43RD ST
CHICAGO, IL
(41.816592, -87.621043)"
20-03-122-018-0000,4237,S,PRAIRIE,AVE,2738,3,GRAND BOULEVARD,RM-5,47th/King,"4237 S PRAIRIE AVE
CHICAGO, IL
(41.817445, -87.619807)"
20-03-122-020-0000,4241,S,PRAIRIE,AVE,2737,3,GRAND BOULEVARD,RM-5,47th/King,"4241 S PRAIRIE AVE
CHICAGO, IL
(41.817355, -87.619804)"
20-03-122-028-0000,4210,S,CALUMET,AVE,2213,3,GRAND BOULEVARD,RM-5,47th/King,"4210 S CALUMET AVE
CHICAGO, IL
(41.818013, -87.618383)"
20-03-122-034-0000,4222,S,CALUMET,AVE,3256,3,GRAND BOULEVARD,RM-5,47th/King,"4222 S CALUMET AVE
CHICAGO, IL
(41.818037, -87.618383)"
20-03-122-035-0000,4226,S,CALUMET,AVE,3254,3,GRAND BOULEVARD,RM-5,47th/King,"4226 S CALUMET AVE
CHICAGO, IL
(41.81762, -87.618368)"
20-03-122-036-0000,4228,S,CALUMET,AVE,3256,3,GRAND BOULEVARD,RM-5,47th/King,"4228 S CALUMET AVE
CHICAGO, IL
(41.817551, -87.618365)"
20-03-122-037-0000,4230,S,CALUMET,AVE,3253,3,GRAND BOULEVARD,RM-5,47th/King,"4230 S CALUMET AVE
CHICAGO, IL
(41.817479, -87.618362)"
20-03-122-038-0000,4232,S,CALUMET,AVE,3255,3,GRAND BOULEVARD,RM-5,47th/King,"4232 S CALUMET AVE
CHICAGO, IL
(41.817411, -87.61836)"
20-03-122-042-0000,4244,S,CALUMET,AVE,3904,3,GRAND BOULEVARD,RM-5,47th/King,"4244 S CALUMET AVE
CHICAGO, IL
(41.817679, -87.61837)"
